# gunzip -c exp/tri4b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_2 
# Started at Thu Nov  9 13:57:13 NZDT 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 10.7303141575% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 21.7054263566% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 89.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,15) frames.
At utterance begin, t_B accounts for 19.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,11) frames.
At utterance begin, k_B accounts for 19.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.7,11) frames.
At utterance begin, m_B accounts for 10.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,14) frames.
At utterance begin, sil accounts for 10.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,13) frames.
At utterance begin, w_B accounts for 10.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
At utterance begin, h_B accounts for 7.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,18) frames.
At utterance begin, f_B accounts for 5.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.9,17) frames.
At utterance begin, r_B accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,7) frames.
At utterance begin, i_B accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,15) frames.
At utterance begin, a_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.1,18) frames.
At utterance begin, p_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,22) frames.
At utterance begin, o_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.4,14) frames.
At utterance begin, e_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.3,14) frames.
At utterance end, nonsilence accounts for 78.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,25) frames.
At utterance end, a_E accounts for 33.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,15) frames.
At utterance end, sil accounts for 21.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
At utterance end, i_E accounts for 13.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,16) frames.
At utterance end, o_E accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,15) frames.
At utterance end, u_E accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,12) frames.
At utterance end, au_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.5,20) frames.
At utterance end, aa_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.5,27) frames.
At utterance end, ai_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,16) frames.
At utterance end, ae_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.3,22) frames.
At utterance end, e_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,15) frames.
At utterance end, ou_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (25,25.9,36) frames.
At utterance end, ao_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (28,30.8,40) frames.
At utterance end, ei_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (32,32.2,39) frames.
At utterance end, uu_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,16) frames.
At utterance end, oe_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (24,25.5,38) frames.
Overall, nonsilence accounts for 93.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,19) frames.
Overall, a_I accounts for 8.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,10) frames.
Overall, a_E accounts for 7.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,15) frames.
Overall, r_I accounts for 7.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,6) frames.
